#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 20:13
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P2VSEL01;Všelibice;01.04.2016;31.12.2023;14.950609;50.648954;392

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Srážkomìr;01.04.2016;31.12.2023;1

PRVEK
Denní úhrn srážek [SRA.07:00, mm]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

Pøíznak;Popis
M;Úhrn mimoøádnì z manuálního srážkomìru
T;Nemìøitelné množství

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
2017;08;12;0;
2017;08;13;3.5;
2017;08;14;0;
2017;08;15;0;
2017;08;16;2.2;
2017;08;17;0;
2017;08;18;21;
2017;08;19;0;
2017;08;20;0;
2017;08;21;0;
2017;08;22;0;
2017;08;23;0;
2017;08;24;0;
2017;08;25;2;
2017;08;26;3.2;
2017;08;27;0;
2017;08;28;0;
2017;08;29;0;
2017;08;30;0;
2017;08;31;14.5;
2017;09;1;11.5;
2017;09;2;0;
2017;09;3;0;
2017;09;4;0;
2017;09;5;0;
2017;09;6;0;
2017;09;7;1.8;
2017;09;8;0;
2017;09;9;1.5;
2017;09;10;3.6;
2017;09;11;0;
2017;09;12;0;
2017;09;13;6.3;
2017;09;14;5.6;
2017;09;15;.2;
2017;09;16;3.6;
2017;09;17;0;
2017;09;18;0;T
2017;09;19;0;
2017;09;20;0;
2017;09;21;0;
2017;09;22;0;
2017;09;23;17.6;
2017;09;24;5;
2017;09;25;1;
2017;09;26;.1;
2017;09;27;0;
2017;09;28;0;
2017;09;29;0;
2017;09;30;0;
2017;10;1;0;
2017;10;2;18;
2017;10;3;5.4;
2017;10;4;.6;
2017;10;5;13.5;
2017;10;6;11.8;
2017;10;7;8.3;
2017;10;8;3.5;
2017;10;9;1.1;
2017;10;10;3.7;
2017;10;11;0;
2017;10;12;0;
2017;10;13;0;
2017;10;14;0;
2017;10;15;0;
2017;10;16;0;
2017;10;17;0;
2017;10;18;0;
2017;10;19;0;
2017;10;20;0;
2017;10;21;18.7;
2017;10;22;2.3;
2017;10;23;2.4;
2017;10;24;2.7;
2017;10;25;2;
2017;10;26;6.3;
2017;10;27;7.5;
2017;10;28;21;
2017;10;29;7.9;
2017;10;30;0;
2017;10;31;.9;
2017;11;1;5.3;
2017;11;2;.3;
2017;11;3;0;
2017;11;4;0;
2017;11;5;4.5;
2017;11;6;.3;
2017;11;7;0;
2017;11;8;0;
2017;11;9;1.8;
2017;11;10;4.5;
2017;11;11;.6;
2017;11;12;7.4;
2017;11;13;2;
2017;11;14;0;
2017;11;15;0;
2017;11;16;0;
2017;11;17;.6;
2017;11;18;1;
2017;11;19;6.3;
2017;11;20;8.7;
2017;11;21;6.9;
2017;11;22;0;
2017;11;23;0;
2017;11;24;1.1;
2017;11;25;2.2;
2017;11;26;.5;
2017;11;27;7.5;
2017;11;28;3.9;
2017;11;29;.3;
2017;11;30;0;
2017;12;1;0;
2017;12;2;0;
2017;12;3;2.9;
2017;12;4;5.2;
2017;12;5;3.4;
2017;12;6;0;
2017;12;7;1.3;
2017;12;8;.7;
2017;12;9;3;
2017;12;10;2;
2017;12;11;0;
2017;12;12;0;
2017;12;13;2.3;
2017;12;14;4.5;
2017;12;15;5.1;
2017;12;16;6.5;
2017;12;17;2.5;
2017;12;18;0;
2017;12;19;3;
2017;12;20;1.2;
2017;12;21;6;
2017;12;22;.2;
2017;12;23;.1;
2017;12;24;0;
2017;12;25;0;
2017;12;26;0;
2017;12;27;4.5;
2017;12;28;7.9;
2017;12;29;0;
2017;12;30;6.4;
2017;12;31;1.6;
2018;01;1;.4;
2018;01;2;1.6;
2018;01;3;20;
2018;01;4;2.6;
2018;01;5;2.1;
2018;01;6;0;
2018;01;7;0;
2018;01;8;0;
2018;01;9;0;
2018;01;10;1.4;
2018;01;11;.2;
2018;01;12;0;
2018;01;13;0;
2018;01;14;0;
2018;01;15;6.5;
2018;01;16;6.1;
2018;01;17;6.9;
2018;01;18;4.1;
2018;01;19;.4;
2018;01;20;0;
2018;01;21;0;
2018;01;22;2.6;
2018;01;23;2.3;
2018;01;24;.6;
2018;01;25;0;
2018;01;26;.8;
2018;01;27;1;
2018;01;28;.6;
2018;01;29;2.8;
2018;01;30;0;
2018;01;31;3.4;
2018;02;1;.8;
2018;02;2;.2;
2018;02;3;.2;
2018;02;4;0;
2018;02;5;0;
2018;02;6;0;
2018;02;7;0;
2018;02;8;0;
2018;02;9;0;
2018;02;10;0;
2018;02;11;0;
2018;02;12;0;
2018;02;13;0;
2018;02;14;0;
2018;02;15;.3;
2018;02;16;.2;
2018;02;17;0;
2018;02;18;0;
2018;02;19;0;
2018;02;20;0;
2018;02;21;0;
2018;02;22;0;
2018;02;23;0;
2018;02;24;0;
2018;02;25;0;
2018;02;26;0;
2018;02;27;0;
2018;02;28;0;
2018;03;1;0;
2018;03;2;0;
2018;03;3;0;
2018;03;4;0;
2018;03;5;0;T
2018;03;6;12;
2018;03;7;.5;
2018;03;8;0;
2018;03;9;.2;
2018;03;10;.2;
2018;03;11;0;
2018;03;12;10.4;
2018;03;13;2.4;
2018;03;14;0;T
2018;03;15;0;
2018;03;16;7.6;
2018;03;17;.7;
2018;03;18;0;
2018;03;19;0;
2018;03;20;0;
2018;03;21;0;
2018;03;22;2.2;
2018;03;23;.2;
2018;03;24;0;
2018;03;25;0;
2018;03;26;.7;
2018;03;27;0;
2018;03;28;7;
2018;03;29;0;
2018;03;30;0;
2018;03;31;14.7;
2018;04;1;0;
2018;04;2;0;
2018;04;3;0;
2018;04;4;0;
2018;04;5;0;
2018;04;6;0;
2018;04;7;0;
2018;04;8;0;
2018;04;9;0;
2018;04;10;0;
2018;04;11;0;
2018;04;12;.2;
2018;04;13;4.6;
2018;04;14;0;T
2018;04;15;2.6;
2018;04;16;10.5;
2018;04;17;0;
2018;04;18;0;
2018;04;19;0;
2018;04;20;0;
2018;04;21;0;
2018;04;22;0;
2018;04;23;18.3;
2018;04;24;0;
2018;04;25;1.2;
2018;04;26;0;
2018;04;27;0;
2018;04;28;0;
2018;04;29;0;
2018;04;30;0;
2018;05;1;.4;
2018;05;2;2.5;
2018;05;3;.9;
2018;05;4;0;
2018;05;5;0;
2018;05;6;0;
2018;05;7;0;
2018;05;8;0;
2018;05;9;0;
2018;05;10;7.3;
2018;05;11;0;
2018;05;12;1.1;
2018;05;13;0;
2018;05;14;0;
2018;05;15;8.3;
2018;05;16;10.4;
2018;05;17;9.3;
2018;05;18;0;
2018;05;19;0;
2018;05;20;0;
2018;05;21;0;
2018;05;22;6;
2018;05;23;0;
2018;05;24;0;
2018;05;25;2.5;
2018;05;26;0;
2018;05;27;0;
2018;05;28;0;
2018;05;29;0;
2018;05;30;0;
2018;05;31;0;
2018;06;1;6.5;
2018;06;2;0;
